97 2,0,0,0,0,0,1,0,0,0,0,1,0
98 1,0,0,0,0,0,0,0,0,0,0,1,0
99 1,0,0,0,0,0,0,0,0,0,1,64,0
100 0,0,0,0,0,0,0,0,0,0,0,32,0
101 2,0,0,0,0,0,0,1,0,0,0,32,0
102 0,0,0,0,0,0,0,0,0,0,0,32,0
104 1,0,0,0,0,0,0,0,0,0,1,32,0
105 3,0,0,0,1,0,0,0,0,0,0,32,0
106 1,0,0,0,0,0,0,0,0,0,0,32,0
107 2,1,0,0,0,0,0,0,0,0,0,32,0
108 2,0,0,0,0,1,0,0,0,0,0,32,0
109 1,0,0,0,0,0,0,0,0,0,0,1,0
129 1,0,0,0,0,0,0,0,0,0,1,64,0
130 1,0,0,0,0,0,0,0,0,0,1,64,0
131 1,0,0,0,0,0,0,0,0,0,1,64,0
132 1,0,0,0,0,0,0,0,0,0,0,32,0
133 1,0,0,0,0,0,0,0,0,0,0,32,0
134 1,0,0,0,0,0,0,0,0,0,0,32,0
135 3,0,0,0,0,0,0,0,0,0,0,32,0
136 1,0,0,0,0,0,0,0,0,0,0,32,0
137 1,0,0,0,0,0,0,0,0,0,0,32,0
138 1,0,0,0,0,0,0,0,0,0,0,32,0
139 3,0,0,0,0,0,0,0,0,0,0,32,0
140 2,0,0,0,0,1,0,0,0,0,0,32,0
141 2,0,0,0,0,1,0,0,0,0,0,32,0
142 2,0,0,0,0,0,1,0,0,0,0,1,0
143 1,0,0,0,0,0,0,0,0,0,0,1,0
147 1,0,0,0,0,0,0,0,0,0,0,64,0
148 1,0,0,0,0,0,0,0,0,0,0,64,0
149 1,0,0,0,0,0,0,0,0,0,0,64,0
150 2,0,0,0,0,0,0,0,1,0,0,32,0
151 2,1,0,0,0,0,0,0,0,0,0,32,0
152 2,0,0,1,0,0,0,0,0,0,0,32,0
153 2,1,0,0,0,0,0,0,0,0,0,64,0
154 1,0,0,0,0,0,0,0,0,0,1,32,0
155 1,0,0,0,0,0,0,0,0,0,0,32,0
158 2,1,0,0,0,0,0,0,0,0,0,32,0
159 2,0,0,1,0,0,0,0,0,0,0,32,0
160 2,1,0,0,0,0,0,0,0,0,0,64,0
161 2,0,0,0,0,0,0,0,1,0,0,32,0
162 2,1,0,0,0,0,0,0,0,0,0,32,0
163 2,0,0,1,0,0,0,0,0,0,0,32,0
164 2,1,0,0,0,0,0,0,0,0,0,64,0
165 1,0,0,0,0,0,0,0,0,0,1,32,0
166 1,0,0,0,0,0,0,0,0,0,1,32,0
167 3,0,0,0,1,0,0,0,0,0,0,32,0
168 1,0,0,0,0,0,0,0,0,0,0,32,0
169 1,0,0,0,0,0,0,0,0,0,1,32,0
170 1,0,0,0,0,0,0,0,0,0,1,32,0
171 3,0,0,0,1,0,0,0,0,0,0,32,0
172 1,0,0,0,0,0,0,0,0,0,0,32,0
173 1,0,0,0,0,0,0,0,0,0,1,32,0
174 1,0,0,0,0,0,0,0,0,0,1,32,0
175 3,0,0,0,1,0,0,0,0,0,0,32,0
176 1,0,0,0,0,0,0,0,0,0,0,32,0
177 1,0,0,0,0,0,0,0,0,0,1,32,0
178 1,0,0,0,0,0,0,0,0,0,1,32,0
179 3,0,0,0,1,0,0,0,0,0,0,32,0
